Title,Series,Volume,Author,Language,Fiction/Non,Genre,Pgs,Publication_date,year_read
Kissing Coffins,Vampire Kisses,2,Ellen Schreiber,English,Fiction,Paranormal Romance,165,0,0
Knocked Out By My Nunga-Nungas,Georgia Nicolson,3,Louise Renninson,English,Fiction,Young Adult,173,0,0
La Amortajada,0,0,María Luisa Bombal,Spanish,Fiction,Classic,139,1986,0
La Ciudad de las Bestias,La Ciudad de las Bestias,1,Isabel Allende,Spanish,Fiction,Young Adult,401,2002,0
La Condena,0,0,Franz Kafka,Spanish,Fiction,Classic,206,0,2013
La Guaracha del Macho Camacho,0,0,Luis Rafael Sánchez,Spanish,Fiction,Classic,313,0,0
La Metamorfosis,0,0,Franz Kafka,Spanish,Fiction,Classic,125,0,2013
La Odisea,0,0,Homer,Spanish,Fiction,Classic,541,0,2012
La Pasión Según Antígona Pérez,0,0,Luis Rafael Sánchez,Spanish,Fiction,Classic,122,0,0
La Rendición,0,0,Toni Bentley,Spanish,Fiction,Erotica,220,2007,0
La vida es sueño,0,0,Pedro Calderón de la Barca,Spanish,Fiction,Classic,103,0,0
Lamb,0,0,Christopher Moore,English,Fiction,Fantasy,444,0,2011
Landline,0,0,Rainbow Rowell,English,Fiction,Contemporary,494,0,2014
Light My Fire,Green Dragons novel,3,Katie MacAlister,English,Fiction,Paranormal Romance,329,0,0
"Little Lady, Big Apple",Little Lady,2,Hester Browne,English,Fiction,Chick Lit,360,0,0
Live Bait,Fearless FBI,2,Francine Pascal,English,Fiction,Young Adult,177,0,0
Living Dead In Dallas,Sookie Stackhouse novel,2,Charlaine Harris,English,Fiction,Paranormal Romance,291,0,0
Lord of the Shadows,Cirque Du Freak,11,Darren Shan,English,Fiction,Young Adult,220,0,0
Lost girls,0,0,Alan Moore,English,Fiction,Graphic Novel,320,0,2013
Lost In A Good Book,Thursday Next,2,Jasper Fforde,English,Fiction,Fantasy,399,0,2011
"Love, Rosie",0,0,Cecilia Ahern,English,Fiction,Chick Lit,431,2004,0
"Love, Stargirl",Stargirl,2,Jerry Spinelli,English,Fiction,Young Adult,279,0,0
Lover at Last,Black Dagger Brotherhood,11,J.R. Ward,English,Fiction,Paranormal Romance,608,0,2013
Lover Avenged,Black Dagger Brotherhood,7,J.R. Ward,English,Fiction,Paranormal Romance,527,0,2012
Lover Awakened,Black Dagger Brotherhood,3,J.R. Ward,English,Fiction,Paranormal Romance,434,0,2011
Lover Enshrined,Black Dagger Brotherhood,6,J.R. Ward,English,Fiction,Paranormal Romance,534,0,2012
Lover Eternal,Black Dagger Brotherhood,2,J.R. Ward,English,Fiction,Paranormal Romance,441,0,2011
Lover Mine,Black Dagger Brotherhood,8,J.R. Ward,English,Fiction,Paranormal Romance,512,0,2012
Lover Reborn,Black Dagger Brotherhood,10,J.R. Ward,English,Fiction,Paranormal Romance,572,0,2012
Lover Revealed,Black Dagger Brotherhood,4,J.R. Ward,English,Fiction,Paranormal Romance,455,0,2011
Lover Unbound,Black Dagger Brotherhood,5,J.R. Ward,English,Fiction,Paranormal Romance,528,0,2012
Lover Unleashed,Black Dagger Brotherhood,9,J.R. Ward,English,Fiction,Paranormal Romance,487,0,2012
Lucy Sullivan Is Getting Married,0,0,Marian Keyes,English,Fiction,Chick Lit,610,0,0
Luna,0,0,Julie Anne Peters,English,Fiction,Young Adult,248,0,0
Luscious Craving,Candace Steele Vampire Killer,2,Cameron Dean,English,Fiction,Paranormal Romance,328,0,0
Macbeth,0,0,William Shakespeare,English,Fiction,Drama,177,0,0
Mad River Road,0,0,Joy Fielding,English,Fiction,Mystery,484,0,0
Manhunt,0,0,Janet Evanovich,English,Fiction,Romance,219,0,0
Marley & Me,0,0,John Grogan,English,Fiction,Biography,303,0,0
Megan Meade's Guide to the McGowan Boys,0,0,Kate Brian,English,Fiction,Young Adult,267,2005,0
Memoria de mis putas tristes,0,0,Gabriel García Márquez,Spanish,Fiction,Classic,109,0,2012
Meri Strikes Back,Meri,2,M. Apostolina,English,Fiction,Young Adult,275,2006,0
Midnight Taxi Tango,Bone Street Rumba,2,Daniel José Older,English,Fiction,Mystery,319,0,2016
Miles Behind Us,The Walking Dead,2,Robert Kirkman,English,Fiction,Graphic Novel,136,0,2012
Miss Peregrine's Home for Peculiar Children,0,0,Ransom Riggs,English,Fiction,Young Adult,348,0,2011
Mister B. Gone,0,0,Clive Barker,English,Fiction,Horror,248,2007,0
Mockingjay,Hunger Games,3,Suzanne Collins,English,Fiction,Young Adult,390,0,2011
Molly Moon Stops the World,Molly Moon,3,Georgia Byng,English,Fiction,Young Adult,374,0,0
Molly Moon y el Increible Libro del Hipnotismo,Molly Moon,1,Georgia Byng,Spanish,Fiction,Young Adult,248,0,0
Molly Moon's Hypnotic Time Travel Adventure,Molly Moon,2,Georgia Byng,English,Fiction,Young Adult,392,0,0
Moon Called,Mercy Thompson,1,Patricia Briggs,English,Fiction,Fantasy,288,2006,0
Moon Demon,Daughters of the Moon,7,Lynne Ewing,English,Fiction,Young Adult,289,0,0
Movie Madness,Tuned In,8,Julia DeVillers,English,Fiction,Young Adult,138,0,0
Mundo Cruel,0,0,Luis Negrón,Spanish,Fiction,Short stories,104,0,2011
Murder on the Orient Express,0,0, Agatha Christie,English,Fiction,Mystery,347,0,2013
Music Mania,Tuned In,4,Julia DeVillers,English,Fiction,Young Adult,139,0,0
Must Love Dragons,Inmortally Sexy,2,Stephanie Rowe,English,Fiction,Paranormal Romance,342,0,0
My Nerdy Valentine,0,0,Vicki Lewis Thompson,English,Fiction,Romance,339,0,0
My Private Life,0,0,Mistress Nan,English,Non-Fiction,Sexuality,196,0,0
Mysteria,0,0,Mary Janice Davidson,English,Fiction,Paranormal Romance,340,0,0
Naked Eye,Fearless FBI,4,Francine Pascal,English,Fiction,Young Adult,232,0,0
Necrophilia Variations,0,0, Supervert,English,Fiction,Sexuality,200,0,2013
Necrópolis,0,0, Santiago Gamboa,Spanish,Fiction,Thriller,455,0,2011
Nerd In Shining Armor,0,0,Vicki Lewis Thompson,English,Fiction,Romance,324,0,0
Nerds Like It Hot,0,0,Vicki Lewis Thompson,English,Fiction,Romance,370,0,0
Never Fade ,The Darkest Minds,2, Alexandra Bracken,English,Fiction,Young Adult,513,0,2019
Neverwhere,0,0,Neil Gaiman,English,Fiction,Graphic Novel,224,0,2012
New Moon,Twilight,2,Stephenie Meyer,English,Fiction,Young Adult,563,0,0
Next Summer,Summer Boys,2,Hailey Abbott,English,Fiction,Young Adult,230,2005,0
Nick & Norah's Infinite Playlist,0,0,Rachel Cohn,English,Fiction,Young Adult,183,0,0
Night Embrace,Dark Hunter,3,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,408,0,0
Night Play ,Dark Hunter,6,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,362,0,0
Night Pleasures,Dark Hunter,2,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,309,0,0
Night Shade,Daughters of the Moon,3,Lynne Ewing,English,Fiction,Young Adult,275,0,0
Night Sun,Sons of the Dark,4,Lynne Ewing,English,Fiction,Young Adult,259,0,0
Nightingale's Lament,Nightside,3,Simon R. Green,English,Fiction,Fantasy,217,0,0
Nightlife,0,0,Thomas Perry ,English,Fiction,Thriller,373,0,0
Nimona,0,0,Noelle Stevenson,English,Fiction,Graphic Novel,272,0,2016
No One Belongs Here More Than You,0,0,Miranda July,English,Fiction,Short stories,224,0,0
Nobody Does It Better,Gossip Girl,7,Cecily von Ziegesar,English,Fiction,Young Adult,229,0,2014
Nocturno de Chile,0,0,Roberto Bolaño,Spanish,Fiction,Contemporary,160,0,2011
Northanger Abbey,0,0,Jane Austen,English,Fiction,Classic,241,1817,0
NOS4A2,0,0,Joe Hill,English,Fiction,Horror,692,0,2013
Nothing Can Keep Us Together,Gossip Girl,8,Cecily von Ziegesar,English,Fiction,Young Adult,218,0,0
Of Mice and Men,0,0,John Steinbeck,English,Fiction,Classic,103,0,2015
Olivia Joules and the Overactive Imagination,0,0,Helen Fielding,English,Fiction,chick Lit,306,0,0
On Bullshit,0,0,Harry G. Frankfurt,English,Fiction,Essays,67,0,0
On The Bright Side I'm Now the Girlfriend of a Sex God,Georgia Nicolson,2,Louise Renninson,English,Fiction,Young Adult,233,0,0
Once Upon A Marigold,0,0,Jean Ferris,English,Fiction,Young Adult,266,0,0
One of Our Thursdays Is Missing,Thursday Next,6,Jasper Fforde,English,Fiction,Fantasy,359,0,2012
Only Human ,Themis Files,3, Sylvain Neuvel,English,Fiction,Science Fiction,336,0,2018
Only In Your Dreams,Gossip Girl,9,Cecily von Ziegesar,English,Fiction,Young Adult,232,0,0
"Other Voices, Other Rooms ",0,0, Truman Capote,English,Fiction,Classic,232,0,2016
Outcast,Sons of the Dark,3,Lynne Ewing,English,Fiction,Young Adult,257,0,0
Palacio,0,0,Sergio Gutiérrez Negrón,Spanish,Fiction,Contemporary,144,0,2016
Pale Demon ,The Hollows,9,Kim Harrison,English,Fiction,Fantasy,439,0,2016
Parnassus on Wheels,0,0,Christopher Morley,English,Fiction,Classic,142,0,2014
Pass It On,Insiders,2,J. Minter,English,Fiction,Young Adult,346,0,0
Passionate Thirst,Candace Steele Vampire Killer,1,Cameron Dean,English,Fiction,Paranormal Romance,301,0,0
Paths Not Taken,Nightside,5,Simon R. Green,English,Fiction,Fantasy,262,0,0
Peaches,0,0,Jodi Lynn Anderson,English,Fiction,Young Adult,312,2005,0
Perfect,0,0,Natasha Friends,English,Fiction,Young Adult,172,0,0
Phone Sex,0,0, Miranda Austin,English,Non-Fiction,Sexuality,200,0,2011
Platero y Yo,0,0,J. R. Jiménez,Spanish,Non-Fiction,Poetry,175,1914,2011
Playing in Traffic,0,0,Gail Giles,English,Fiction,Young Adult,176,0,0
Playing With Fire,Silver Dragons novel,1,Katie MacAlister,English,Fiction,Paranormal Romance,331,0,0
Please Ignore Vera Dietz,0,0,A. S. King,English,Fiction,Young Adult,326,0,2014
Pop Princess,0,0,Rachel Cohn,English,Fiction,Young Adult,311,0,0
Possession,Daughters of the Moon,8,Lynne Ewing,English,Fiction,Young Adult,275,0,0
Practical Demonkeeping,0,0,Christopher Moore,English,Fiction,Fantasy,243,0,0
Prep,0,0,Curtis Sittenfield,English,Fiction,Young Adult,403,0,0
Pride And Prejudice,0,0,Jane Austen,English,Fiction,Classic,334,1813,0
Primavera,Primavera,1,Francesca Lia Block,English,Fiction,Young Adult,189,1994,0
Prom,0,0,Laurie Halse Anderson,English,Fiction,Young Adult,215,0,0
Púrpura profundo,0,0,Mayra Montero,Spanish,Fiction,Erotica,172,0,0
Raina's Story,Angels in Pink,2,Lurlene McDaniel,English,Fiction,Young Adult,190,0,0
Ready or Not,0,0,Meg Cabot,English,Fiction,Chick Lit,238,0,0
Real Vampires Live Large,0,0,Gerry Bartlet,English,Fiction,Paranormal Romance,297,2007,0
Really Unusual Bad Boys,0,0,Mary Janice Davidson,English,Fiction,Paranormal Romance,241,0,0
Red is for Remembrance,0,0,Laurie Faria Stolarz,English,Fiction,Young Adult,320,0,0
Revenge,0,0,Yoko Ogawa,English,Fiction,Horror,162,0,2015
Rewind,0,0,Laura Dower,English,Fiction,Young Adult,243,0,0
Rhymes With Witches,0,0,Lauren Myracle,English,Fiction,Young Adult,209,0,0
Rich People Problems ,0,0, Kevin Kwan,English,Fiction,Contemporary,398,0,2018
River Marked ,Mercy Thompson,6,Patricia Briggs ,English,Fiction,Fantasy,226,0,2012
Room Redo,Tuned In,9,Julia DeVillers,English,Fiction,Young Adult,141,0,0
Running With Scissors,0,0,Augusten Burroughs,English,Non-Fiction,Memoir,304,0,0
Russian Winter,0,0,Daphne Kalotay,English,Fiction,Contemporary,459,0,0
Sacré Bleu: A Comedy D'art,0,0,Christopher Moore,English,Fiction,Fantasy,403,0,2012
Safety Behind Bars,The Walking Dead,3,Robert Kirkman,English,Fiction,Graphic Novel,136,0,2012
"Saga, Vol. 1",Saga,1, Brian K. Vaughan,English,Fiction,Graphic Novel,176,0,2015
"Saga, Vol. 2",Saga,2, Brian K. Vaughan,English,Fiction,Graphic Novel,160,0,2015
"Saga, Vol. 3",Saga,3, Brian K. Vaughan,English,Fiction,Graphic Novel,144,0,2019
Salida de emergencia ,0,0, Valenzuela ,English,Fiction,Short stories,270,0,2012
Sandpiper,0,0,Ellen Wittlinger,English,Fiction,Young Adult,225,0,0
Satánas,0,0,Mario Mendoza,Spanish,Fiction,Horror,283,0,2011
Saving Francesca,0,0,Melina Marchetta,English,Fiction,Young Adult,243,0,0
Scent of Darkness,Darkness Chosen,1,Christina Dodd,English,Fiction,Paranormal Romance,392,0,0
Seal It With a Kiss,0,0,Violet Blue,English,Non-Fiction,Sexuality,129,2010,0
Secondhand Souls ,0,0, Christopher Moore,English,Fiction,Fantasy,335,0,2016
Seduced By Magic,0,0,Cheyenne McGray,English,Fiction,Romance,372,0,0
Seize the Night,Dark Hunter,7,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,325,0,0
Sex Criminals,0,0,Matt Fraction,English,Fiction,Graphic Novel,128,0,2016
Shades of Grey,Shades of Grey,1,Jasper Fforde,English,Fiction,Fantasy,390,0,0
Sharper Than  A Serpent's Tooth,Nightside,6,Simon R. Green,English,Fiction,Fantasy,247,0,0
Shatter Glass,The Circle Opens,4,Tamora Pierce,English,Fiction,Young Adult,357,0,0
Shattering Glass,0,0,Gail Giles,English,Fiction,Young Adult,215,0,0
Shiver ,0,0,Lisa Jackson,English,Fiction,Thriller,579,0,0
Shrimp,Cyd Charisse ,2,Rachel Cohn,English,Fiction,Young Adult,272,0,0
Silver Borne,Mercy Thompson,5,Patricia Briggs,English,Fiction,Fantasy,342,2010,2011
Silver is for Secrets,0,0,Laurie Faria Stolarz,English,Fiction,Young Adult,277,0,0
Simply Sensual,0,0,Carly Phillips,English,Fiction,Romance,266,0,0
Single White Vampire,Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,369,0,0
Sins Of Midnight,0,0,Kimberly Logan,English,Fiction,Historical Romance,374,0,0
Sins of the Night,Dark Hunter,8,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,365,0,0
Size 12 Is Not Fat,Heather Wells,1,Meg Cabot,English,Fiction,Chick Lit,345,0,0
Size 14 Is Not Fat Either,Heather Wells,2,Meg Cabot,English,Fiction,Chick Lit,344,0,0
Slaughterhouse Five,0,0,Kurt Vonnegut,English,Fiction,Fiction,215,1969,2011
Sleeping Giants ,Themis Files,1, Sylvain Neuvel,English,Fiction,Science Fiction,320,0,2017
Sleeping With the Fishes,Fred Bimm,1,Mary Janice Davidson,English,Fiction,Paranormal Romance,268,0,0
Smitten,0,0,Janet Evanovich,English,Fiction,Romance,234,0,0
So Yesterday,0,0,Scott Westerfeld,English,Fiction,Young Adult,225,0,0
So You Want to Be A Wizard,Young Wizards,1,Diane Duane,English,Fiction,Young Adult,323,0,0
Something From the Nightside,Nightside,1,Simon R. Green,English,Fiction,Fantasy,230,0,0
Something Rotten,Thursday Next,4,Jasper Fforde,English,Fiction,Fantasy,383,0,2011
Son of the Mob,Son of the Mob,1,Gordon Korman,English,Fiction,Young Adult,262,0,0
Song of Susannah,Dark Tower,6,Stephen King,English,Fiction,Science Fiction,510,0,0
Sons of Destiny,Cirque Du Freak,12,Darren Shan,English,Fiction,Young Adult,240,0,0
Spaceman of Bohemia ,0,0, Jaroslav Kalfar,English,Fiction,Contemporary,277,0,2017
Speak,0,0,Laurie Halse Anderson,English,Fiction,Young Adult,198,0,0
Special of the Day,0,0,Elaine Fox,English,Fiction,Romance,373,0,0
Squashed,0,0,Joan Bauer,English,Fiction,Young Adult,194,1992,0
St. Urbain's Horseman,0,0,Mordecai Richler,English,Fiction,Contemporary,504,0,2015
Star Struck,Tuned In,2,Julia DeVillers,English,Fiction,Young Adult,138,0,0
Stardust,0,0,Neil Gaiman,English,Fiction,Fantasy,333,1998,2011
Stargirl,Stargirl,1,Jerry Spinelli,English,Fiction,Young Adult,186,0,0
Station Eleven,0,0,Emily St. John Mandel,English,Fiction,Science Fiction,336,0,2015
Sticky Fingers,0,0,Nikki Burnham,English,Fiction,Young Adult,274,0,0
Story Time,0,0,Edward Bloor,English,Fiction,Young Adult,424,2001,0
Summer Boys,Summer Boys,1,Hailey Abbott,English,Fiction,Young Adult,214,2005,0
Sushi For Beginners,0,0,Marian Keyes,English,Fiction,Chick Lit,426,0,0
Swimming Without A Net,Fred Bimm,2,Mary Janice Davidson,English,Fiction,Paranormal Romance,271,0,0
Switching Time,0,0,Richard Baer,English,Non-Fiction,Psychology,346,2007,0
T.Witches,0,0,H.B. Gilmour,English,Fiction,Young Adult,308,0,0
Take It Off,Insiders,3,J. Minter,English,Fiction,Young Adult,334,0,0
Talk Nerdy To Me,0,0,Vicki Lewis Thompson,English,Fiction,Romance,357,0,0
Tan cerca de la vida,0,0,Santiago Roncagliolo,Spanish,Fiction,Contemporary,328,0,2011
The 13 1/2 Lives of Captain Bluebear,0,0, Walter Moers,English,Fiction,Contemporary,704,0,2014
The Accidental Vampire,Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,361,0,0
The African Samurai ,0,0, Geoffrey Girard,English,Fiction,Biography,480,0,2019
The Angel's Game,0,0,Carlos Ruiz Zafón,English,Fiction,Contemporary,531,0,0
The Bachelor,Chandler Boys,1,Carly Phillips,English,Fiction,Romance,301,0,0
The Bad Beginning,A Series of Unfortunate Events,1,Lemony Snicket,English,Fiction,Young Adult,176,0,2014
The Becoming,Daughters of the Moon,12,Lynne Ewing,English,Fiction,Young Adult,273,0,0
The Bell Jar,0,0,Sylvia Plath,English,Fiction,Classic,284,1963,0
The Best Defense,The Walking Dead,5,Robert Kirkman,English,Fiction,Graphic Novel,136,0,2012
The Big Over Easy,Nursery Crime,1,Jasper Fforde,English,Fiction,Fantasy,383,0,0
The Blind Assassin,0,0,Margaret Atwood,English,Fiction,Mystery,641,0,2015
The Book of Lost Things,0,0,John Connolly,English,Fiction,Young Adult,339,0,0
The Book of Speculation ,0,0, Erika Swyler,English,Fiction,Fantasy,339,0,2016
The Bridesmaid ,0,0,Hailey Abbott,English,Fiction,Young Adult,266,2005,0
The Brief Wondrous Life of Oscar Wao,0,0,Junot Díaz,English,Fiction,Contemporary,345,0,0
The Cabin at the End of the Woods ,0,0, Paul Tremblay,English,Fiction,Horror,272,0,2018
The Catcher In the Rye,0,0,J.D. Salinger,English,Fiction,Classic,214,1951,0
The Chestnut Man ,0,0, Soren Sveistrup,English,Fiction,Mystery,519,0,2019
The Choice,Daughters of the Moon,9,Lynne Ewing,English,Fiction,Young Adult,275,0,0
The Chronicles of Narnia #1-#7,0,0,C.S. Lewis,English,Fiction,Fantasy,767,0,0
The Claiming of Sleeping Beauty,Sleeping Beauty,1,A.N. Roquelaure,English,Fiction,Erotica,253,1983,0
The Color Purple,0,0,Alice Walker,English,Fiction,Classic,294,0,0
The Crucible,0,0,Arthur Miller,English,Fiction,Drama,145,1953,0
The Curious Incident Of The Dog In The Nightside,0,0,Mark Haddon,English,Fiction,Contemporary,221,2003,0
The Curious Sofa: A Pornographic Work ,0,0, Ogdred Weary,English,Fiction,Graphic Novel,64,0,2014
The Dark Tower,Dark Tower,7,Stephen King,English,Fiction,Science Fiction,830,0,0
The Debutante Divorcée,0,0,Plum Sykes,English,Fiction,Fiction,248,0,0
The Defining Decade,0,0,Meg Jay,English,Non-Fiction,Psychology,201,0,2012
The Devil in the White City ,0,0, Erik Larson,English,Fiction,True Crime,447,0,2019
The Divide,Divide,1,Elizabeth Kay,English,Fiction,Young Adult,318,0,0
The Dog Stars ,0,0, Peter Heller,English,Fiction,Science Fiction,336,0,2015
The Dream-Hunter,Dark Hunter,11,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,340,0,0
The Egyptologyst ,0,0,Arthur Phillips,English,Fiction,Historical Fiction,383,0,0
The Eyre Affair,Thursday Next,1,Jasper Fforde,English,Fiction,Fantasy,374,0,2011
The Fellowship of the Ring,Lord of the Rings,1,J.R.R. Tolkien,English,Fiction,Science Fiction,398,1954,2011
The Female Brain,0,0,Louann Brizendine,English,Non-Fiction,Psychology,163,2006,0
The Fifth Season ,The Broken Earth,1, N.K. Jemisin,English,Fiction,Science Fiction,468,0,2017
The Final Eclipse,Daughters of the Moon,13,Lynne Ewing,English,Fiction,Young Adult,265,0,0
The Finishing Touches,0,0,Hester Browne,English,Fiction,Chick Lit,411,0,0
The Fireman ,0,0, Joe Hill,English,Fiction,Horror,768,0,2017
The Five People You Meet In Heaven,0,0,Mitch Albom,English,Fiction,Contemporary,196,2003,0
The Fourth Bear,Nursery Crime,2,Jasper Fforde,English,Fiction,Fantasy,375,0,0
The Friendship test,0,0,Elizabeth Noble,English,Fiction,Chick Lit,437,0,0
The Girl Who Kicked the Hornet's Nest,Millenium,3,Stieg Larsson,English,Fiction,Crime Fiction,563,0,0
The Girl Who Played With Fire,Millenium,2,Stieg Larsson,English,Fiction,Crime Fiction,724,0,0
The Girl With the Dragon Tattoo,Millenium,1,Stieg Larsson,English,Fiction,Crime Fiction,644,0,0
The Glittering Hour ,0,0, Iona Grey,English,Fiction,Contemporary,471,0,2019
The Good Guy,0,0,Dean Koontz,English,Fiction,Thriller,386,0,0
"The Good, The Bad, and The Undead",The Hollows,2,Kim Harrison,English,Fiction,Fantasy,453,0,2016
The Green Mile,0,0,Stephen King,English,Fiction,Horror,536,0,0
The Gunslinger,Dark Tower,1,Stephen King,English,Fiction,Science Fiction,231,0,0
The Haunted Bookshop,0,0,Christopher Morley,English,Fiction,Fiction,0,0,2014
The Heart's Desire,The Walking Dead,4,Robert Kirkman,English,Fiction,Graphic Novel,136,0,2012
The Heartbreaker,Chandler Boys,3,Carly Phillips,English,Fiction,Romance,319,0,0
The Hellbound Heart,0,0,Clive Barker,English,Fiction,Horror,164,1991,0
The Hitchhiker's Guide to the Galaxy,0,0,Douglas Adams,English,Fiction,Science Fiction,815,1979,0
The Hobbit,0,0, J.R.R Tolkien ,English,Fiction,Science Fiction,322,0,2012
The Holy Terrors,0,0,Jean Cocteau,English,Fiction,Classic,183,1929,0
The Housekeeper and the Professor,0,0,Yoko Ogawa,English,Fiction,Contemporary,180,0,2014
The Hunger Games,Hunger Games,1,Suzanne Collins,English,Fiction,Young Adult,374,0,2011
The Killing Moon,The Dreamblood,1,N.K. Jemisin,English,Fiction,Fantasy,404,0,2014
The King ,Black Dagger Brotherhood,12,J.R. Ward,English,Fiction,Paranormal Romance,591,0,2015
The Lake of Souls,Cirque Du Freak,10,Darren Shan,English,Fiction,Young Adult,265,0,0
The Last One,Daughters of the Moon,6,Lynne Ewing,English,Fiction,Young Adult,274,0,0
The Little Lady Agency,Little Lady,1,Hester Browne,English,Fiction,Chick Lit,376,2006,0
The Little Lady Agency and the Prince,Little Lady,3,Hester Browne,English,Fiction,Chick Lit,391,0,0
The Lonely Hearts Hotel ,0,0, Heather O’Neill,English,Fiction,Contemporary,391,0,2017
The Lost City of Faar,Pendragon,2,D.J. MacHale,English,Fiction,Young Adult,384,0,0
The Lover,0,0,Marguerite Duras,English,Fiction,Classic,117,0,2015
The Lust Lizard of Melancholy Cove,0,0,Christopher Moore,English,Fiction,Fantasy,304,0,0
The Magicians,0,0,Lev Grossman,English,Fiction,Fantasy,402,0,2011
The Merchant of Death,Pendragon,1,D.J. MacHale,English,Fiction,Young Adult,374,0,0
The Museum of Extraordinary Things,0,0,Alice Hoffman,English,Fiction,Fantasy,368,0,2014
The Nerd Who Loved Me,0,0,Vicki Lewis Thompson,English,Fiction,Romance,404,0,0
The Never War,Pendragon,3,D.J. MacHale,English,Fiction,Young Adult,336,0,0
The Night Circus,0,0,Erin Morgenstern,English,Fiction,Fantasy,386,0,2012
The Notebook,0,0,Nicholas Sparks,English,Fiction,Contemporary,207,0,0
The Obelisk Gate ,The Broken Earth,2, N.K. Jemisin,English,Fiction,Science Fiction,410,0,2017
The Outlaw Demon Wails,The Hollows,6,Kim Harrison,English,Fiction,Fantasy,455,0,0
The Outsiders,0,0,S.E. Hinton,English,Fiction,Fiction,188,0,0
The Picture of Dorian Gray,0,0,Oscar Wilde,English,Fiction,Classic,190,1890,0
The Playboy,Chandler Boys,2,Carly Phillips,English,Fiction,Romance,330,0,0
The Poisoner's Handbook,0,0,Deborah Blum ,English,Non-Fiction,True Crime,319,0,2012
The Proof of the Honey,0,0,Salwa Al Neimi,English,Fiction,Erotica,160,0,2015
The Prophesy,Daughters of the Moon,11,Lynne Ewing,English,Fiction,Young Adult,273,0,0
The Purple Emperor ,Faerie Wars,2,Herbie Brennan,English,Fiction,Young Adult,424,2004,0
The Ravishing of Lol V. Stein,0,0,Marguerite Duras,English,Fiction,Classic,181,0,2015
The Reader,0,0,Bernard Schlink,English,Fiction,Historical Fiction,218,0,0
The Reading Group,0,0,Elizabeth Noble,English,Fiction,Fiction,429,0,0
The Return of the King,Lord of the Rings,2, J.R.R Tolkien ,English,Fiction,Science Fiction,410,0,2012
The Rise & Fall of a 10th Grade Social Climber,0,0,Lauren Mechling,English,Fiction,Young Adult,290,0,0
The Ropemaker,0,0,Peter Dickinson,English,Fiction,Fantasy,375,0,0
The Sacrifice,Daughters of the Moon,5,Lynne Ewing,English,Fiction,Young Adult,269,0,0
The Salinger Contract,0,0,Adam Langer,English,Fiction,Contemporary,269,0,2014
The Sandman,0,0,Neil Gaiman,English,Fiction,Graphic Novel,42,0,2013
"The Scot, the Witch, and the Wardrobe",0,0,Annette Blair,English,Fiction,Paranormal Romance,269,2006,0
The Second Assistant,0,0,Clare Naylon,English,Fiction,Chick Lit,357,0,0
The Second Summer of the Sisterhood,Traveling Pants,2,Ann Brashares,English,Fiction,Young Adult,373,2003,0
The Secret Lover,0,0,Julia London,English,Fiction,Historical Romance,387,0,0
The Secret Scroll,Daughters of the Moon,4,Lynne Ewing,English,Fiction,Young Adult,268,0,0
The Seven Dials Mystery,0,0, Agatha Christie,English,Fiction,Mystery,270,0,2013
The Shadow of the Wind,0,0,Carlos Ruiz Zafón,English,Fiction,Mystery,487,0,0
The Shadowed Sun,The Dreamblood,2,N.K. Jemisin,English,Fiction,Fantasy,494,0,2014
The Shadows ,Black Dagger Brotherhood,13,J.R. Ward,English,Fiction,Paranormal Romance,590,0,2015
The Sign of Four,Sherlock Holmes,0,Sir Arthur Conan Doyle,English,Fiction,Mystery,129,0,2013
The Sinister Sweetness of Splendid Academy,0,0,Nikki Loftin,English,Fiction,Young Adult,305,0,2013
The Sisterhood of the Traveling Pants,Traveling Pants,1,Ann Brashares,English,Fiction,Young Adult,290,2001,0
The Snow Child,0,0,Eowyn Ivey,English,Fiction,Contemporary,0,0,2015
The Solitude of Prime Numbers,0,0,Paolo Giordano,English,Fiction,Contemporary,271,0,2011
The Stone Sky ,The Broken Earth,3, N.K. Jemisin,English,Fiction,Science Fiction,416,0,2017
The Stupidest Angel,0,0,Christopher Moore,English,Fiction,Fantasy,306,0,0
The Sun Also Rises,0,0,Ernest Hemingway,English,Fiction,Classic,251,1926,2011
The Supernaturalist,0,0,Eoin Colfer,English,Fiction,Young Adult,267,0,0
The Sweetness at the Bottom of the Pie,Flavia de Luce Mystery,1,Alan Bradley,English,Fiction,Mystery,370,2009,0
The Talisman,Daughters of the Moon,10,Lynne Ewing,English,Fiction,Young Adult,278,0,0
The Taming of the Shrew,0,0,William Shakespeare,English,Fiction,Drama,109,0,2011
The Thirteen Problems,0,0,Agatha Christie,English,Fiction,Mystery,215,0,0
The Troop ,0,0, Nick Cutter,English,Fiction,Horror,368,0,2017
The Trouble With Valentine's Day,0,0,Rachel Gibson,English,Fiction,Romance,352,0,0
The Truth About Forever,0,0,Sarah Dessen,English,Fiction,Young Adult,374,0,0
The Turn of the Key ,0,0, Ruth Ware,English,Fiction,Mystery,337,0,2019
